MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 500000
0 Meta TrkEnd
TrkEnd
MTrk
3804 On ch=1 n=65 v=0
3815 On ch=1 n=67 v=80
3815 On ch=1 n=79 v=80
3839 On ch=1 n=67 v=0
3839 On ch=1 n=79 v=0
3852 On ch=1 n=65 v=80
3852 On ch=1 n=77 v=80
3900 On ch=1 n=65 v=0
3900 On ch=1 n=77 v=0
3923 On ch=1 n=79 v=80
3923 On ch=1 n=67 v=80
3948 On ch=1 n=79 v=0
3948 On ch=1 n=67 v=0
3960 On ch=1 n=65 v=80
3960 On ch=1 n=77 v=80
3984 On ch=1 n=65 v=0
3984 On ch=1 n=77 v=0
3995 On ch=1 n=77 v=80
3995 On ch=1 n=65 v=80
4043 On ch=1 n=77 v=0
4043 On ch=1 n=65 v=0
4068 On ch=1 n=75 v=80
4092 On ch=1 n=75 v=0
4103 On ch=1 n=72 v=80
4128 On ch=1 n=72 v=0
4140 On ch=1 n=70 v=80
4164 On ch=1 n=70 v=0
4176 On ch=1 n=68 v=80
4200 On ch=1 n=68 v=0
4212 On ch=1 n=75 v=80
4260 On ch=1 n=75 v=0
4283 On ch=1 n=73 v=80
4331 On ch=1 n=73 v=0
4356 On ch=1 n=70 v=80
4380 On ch=1 n=70 v=0
4392 On ch=1 n=82 v=80
4416 On ch=1 n=82 v=0
4428 On ch=1 n=80 v=80
4452 On ch=1 n=80 v=0
4463 On ch=1 n=72 v=80
4488 On ch=1 n=72 v=0
4500 On ch=1 n=77 v=80
4500 On ch=1 n=68 v=80
4548 On ch=1 n=77 v=0
4548 On ch=1 n=68 v=0
4572 On ch=1 n=75 v=80
4596 On ch=1 n=75 v=0
4608 On ch=1 n=62 v=80
4608 On ch=1 n=68 v=80
4632 On ch=1 n=68 v=0
4643 On ch=1 n=70 v=80
4656 On ch=1 n=62 v=0
4668 On ch=1 n=70 v=0
4680 On ch=1 n=61 v=80
4680 On ch=1 n=67 v=80
4680 On ch=1 n=70 v=80
4728 On ch=1 n=61 v=0
4728 On ch=1 n=67 v=0
4728 On ch=1 n=70 v=0
4752 On ch=1 n=60 v=80
4752 On ch=1 n=68 v=80
4800 On ch=1 n=60 v=0
4800 On ch=1 n=68 v=0
4932 On ch=1 n=84 v=80
4956 On ch=1 n=84 v=0
4968 On ch=1 n=80 v=80
4992 On ch=1 n=80 v=0
5003 On ch=1 n=77 v=80
5028 On ch=1 n=77 v=0
5040 On ch=1 n=74 v=80
5064 On ch=1 n=74 v=0
5076 On ch=1 n=75 v=80
5100 On ch=1 n=75 v=0
5112 On ch=1 n=68 v=80
5136 On ch=1 n=68 v=0
5148 On ch=1 n=70 v=80
5172 On ch=1 n=70 v=0
5183 On ch=1 n=62 v=80
5183 On ch=1 n=71 v=80
5208 On ch=1 n=71 v=0
5220 On ch=1 n=67 v=80
5244 On ch=1 n=67 v=0
5256 On ch=1 n=62 v=0
5256 On ch=1 n=68 v=80
5280 On ch=1 n=68 v=0
5292 On ch=1 n=61 v=80
5292 On ch=1 n=70 v=80
5292 On ch=1 n=67 v=80
5340 On ch=1 n=70 v=0
5340 On ch=1 n=67 v=0
5363 On ch=1 n=75 v=80
5364 On ch=1 n=61 v=0
5388 On ch=1 n=75 v=0
5400 On ch=1 n=87 v=80
5424 On ch=1 n=87 v=0
5436 On ch=1 n=85 v=80
5460 On ch=1 n=85 v=0
5508 On ch=1 n=84 v=80
5532 On ch=1 n=84 v=0
5543 On ch=1 n=80 v=80
5568 On ch=1 n=80 v=0
5580 On ch=1 n=77 v=80
5604 On ch=1 n=77 v=0
5616 On ch=1 n=74 v=80
5640 On ch=1 n=74 v=0
5652 On ch=1 n=75 v=80
5676 On ch=1 n=75 v=0
5688 On ch=1 n=68 v=80
5712 On ch=1 n=68 v=0
5723 On ch=1 n=70 v=80
5748 On ch=1 n=70 v=0
5760 On ch=1 n=62 v=80
5760 On ch=1 n=71 v=80
5784 On ch=1 n=71 v=0
5796 On ch=1 n=67 v=80
5820 On ch=1 n=67 v=0
5832 On ch=1 n=62 v=0
5832 On ch=1 n=68 v=80
5856 On ch=1 n=68 v=0
5868 On ch=1 n=61 v=80
5868 On ch=1 n=67 v=80
5868 On ch=1 n=70 v=80
5940 On ch=1 n=61 v=0
5940 On ch=1 n=67 v=0
5940 On ch=1 n=70 v=0
6120 On ch=1 n=73 v=80
6120 On ch=1 n=65 v=80
6120 On ch=1 n=70 v=80
6120 On ch=1 n=67 v=80
6168 On ch=1 n=73 v=0
6168 On ch=1 n=65 v=0
6168 On ch=1 n=70 v=0
6168 On ch=1 n=67 v=0
6192 On ch=1 n=72 v=80
6192 On ch=1 n=64 v=80
6192 On ch=1 n=70 v=80
6192 On ch=1 n=67 v=80
